host,family,record,status,mode,streams,seed,batch,cpu,unit,n,mean,stddev,median,q1,q3,p05,p95,outliers,flags,raw_sha256
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/4e1294f70e769af0/attempt-1788928715857782080/run.json,passed,chase,1,5924102,4096,4,TSC_ticks/load,1000000,2.849084376220703,0.3775180191941068,2.832275390625,2.828857421875,2.835693359375,2.826416015625,2.838134765625,10003,,ec99cf8b7524b428782a6f571087e027c3f9aaf0e77d71d2f3d7d1fa1ef1e95d
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/7c4b52a3911e1e5e/attempt-1788928761095649602/run.json,passed,chase,1,5924103,4096,4,TSC_ticks/load,1000000,2.850755403076172,0.40210640489567073,2.832275390625,2.828857421875,2.835693359375,2.826416015625,2.838134765625,10407,,0988877368b9fc639b381b24a503dc3ba610d99ede989387a285eef4c02085ed
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/98fe8851d5b49f3b/attempt-1788928689134360528/run.json,passed,chase,1,5924101,4096,4,TSC_ticks/load,1000000,2.852875986328125,0.44456796655131803,2.832275390625,2.828857421875,2.835693359375,2.826416015625,2.838623046875,38380,,5100896a57721f9f74c09cb67d33458786ed14176934338b1cbf2f56d99cd5ec
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/9b7c125a29a51b90/attempt-1788928724038872150/run.json,passed,chase,4,5924102,4096,4,TSC_ticks/load,1000000,0.7142546208496093,0.19062383547425446,0.7099609375,0.708984375,0.7109375,0.7080078125,0.71142578125,9222,,84d90d9af230b27260fd124070c53a808f33900140a043dc03a459c32a26f30f
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/a9ad2e39352d03a8/attempt-1788928755980460130/run.json,passed,chase,4,5924103,4096,4,TSC_ticks/load,1000000,0.7150405280761719,0.21361253560270083,0.7099609375,0.708984375,0.7109375,0.7080078125,0.71142578125,10062,,1d88d9fee7ad9606a0a5bb73eccc774b8e5a603a5bfc624352fc123acdc16a0f
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/ac51a66fec63c2e3/attempt-1788928697312584727/run.json,passed,chase,4,5924101,4096,4,TSC_ticks/load,1000000,0.7145233874511718,0.18520417158921076,0.71044921875,0.70947265625,0.711181640625,0.70849609375,0.712158203125,8666,,2d76bd703032521bf0af718001a8dab699d5fd04b4b5007e79e001a5aeda2908
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/aef35aa059820215/attempt-1788928729147289179/run.json,passed,chase,4,5924102,4096,4,TSC_ticks/load,1000000,0.7155466127929687,0.20095711384827122,0.7109375,0.7099609375,0.7119140625,0.708984375,0.712890625,11972,,34ba1462cc9b9a26d69372b08b76b7573e12b02add416bff5a4948ec282881f1
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/b8271f9eb2c0e80a/attempt-1788928734650168017/run.json,passed,chase,1,5924102,4096,4,TSC_ticks/load,1000000,2.851254623779297,0.4088397232596261,2.832275390625,2.828857421875,2.835693359375,2.826416015625,2.838134765625,11838,,a1d093eb44ba8e12fe50b032800e1fb8d3e790761115f6a4bf03a5f4d7bbe826
upgrade,smoke,machines/upgrade/independent-load-v1/smoke/39f614551be5e15f/attempt-1788928608094237089/run.json,passed,chase,1,5924101,4096,2,TSC_ticks/load,2048,2.836796283721924,0.07613036917541953,2.83203125,2.828857421875,2.83544921875,2.826416015625,2.837890625,12,,996d9ce7c327366e6803901b54e7d8323582c2c2cfb1c608fe822d6c15bba1b1
upgrade,smoke,machines/upgrade/independent-load-v1/smoke/6473570af8cb0465/attempt-1788928610222120173/run.json,passed,chase,4,5924101,4096,2,TSC_ticks/load,2048,0.7113786935806274,0.038737247657284646,0.7099609375,0.709228515625,0.7109375,0.70849609375,0.7119140625,27,,435263d3dbe3268b81994169730d7268a3a59cbf702c28b0515a4b61643a671f
upgrade,smoke,machines/upgrade/independent-load-v1/smoke/b72263ef8b47f50f/attempt-1788928612350692200/run.json,noisy,overhead,1,5924101,4096,2,TSC_ticks/interval,2048,67.44287109375,13.92781508992963,63.0,62.0,65.0,61.0,86.0,402,block median drift exceeds 20 percent,122fed32ccf013d683d17febe063b679191029f8054b10fc5d9a5d50faf0585a
upgrade,smoke,machines/upgrade/independent-load-v1/smoke/c13b49eaf75b5c13/attempt-1788928614478704505/run.json,passed,loop,1,5924101,4096,0,TSC_ticks/load,2048,0.19281995296478271,0.02675734109325418,0.19189453125,0.19140625,0.1923828125,0.19091796875,0.19287109375,65,,144c1b8b2dd1b995b0118024e46b6b49506f2b698adfc6a3052abc8bfff36a21
