host,group,mode,size_kib,unit,median_change_percent,percentile_bands_overlap,coarse_mean,refinement_mean,coarse_median,refinement_median,coarse_stddev,refinement_stddev,coarse_q1,refinement_q1,coarse_q3,refinement_q3,coarse_p5,refinement_p5,coarse_p95,refinement_p95,coarse_outliers,refinement_outliers,coarse_zeros,refinement_zeros
thunderbird,small,sequential,32.0,Arm counter ticks/access,0.0,True,0.03358700244140625,0.03358811157226563,0.03369140625,0.03369140625,0.0015433452234384494,0.0015366272852223302,0.033447265625,0.033447265625,0.03369140625,0.03369140625,0.033447265625,0.033447265625,0.03369140625,0.03369140625,869,927,0,0
thunderbird,small,sequential,64.0,Arm counter ticks/access,0.0,True,0.03375532348632813,0.03379003784179688,0.03369140625,0.03369140625,0.0018319640555653815,0.0015270050953434115,0.03369140625,0.03369140625,0.03369140625,0.033935546875,0.03369140625,0.03369140625,0.033935546875,0.033935546875,273162,1304,0,0
thunderbird,small,sequential,128.0,Arm counter ticks/access,0.0,True,0.0341558671875,0.03415481127929688,0.0341796875,0.0341796875,0.001546221789693542,0.0015404746191113525,0.0341796875,0.0341796875,0.0341796875,0.0341796875,0.033935546875,0.033935546875,0.034423828125,0.034423828125,277975,275065,0,0
thunderbird,middle,random,256.0,Arm counter ticks/access,1.724137931034475,True,0.09908483959960937,0.10067717651367188,0.09912109375,0.100830078125,0.0025627582911739825,0.0025425412635323966,0.0986328125,0.10009765625,0.099365234375,0.10107421875,0.09814453125,0.099609375,0.099853515625,0.101318359375,1665,1680,0,0
thunderbird,middle,random,512.0,Arm counter ticks/access,-4.930966469428011,False,0.12398034350585938,0.11783573461914063,0.123779296875,0.11767578125,0.0032086161079855303,0.0028338815820806093,0.123046875,0.117431640625,0.124755859375,0.117919921875,0.1220703125,0.117431640625,0.126220703125,0.11865234375,6970,5197,0,0
thunderbird,middle,random,1024.0,Arm counter ticks/access,5.221339387060153,True,0.21521930517578125,0.22647853930664064,0.215087890625,0.226318359375,0.005721859510670297,0.005896605377975566,0.21240234375,0.22314453125,0.2177734375,0.2294921875,0.20849609375,0.2197265625,0.22216796875,0.23388671875,6797,4096,0,0
thunderbird,middle,random,2048.0,Arm counter ticks/access,5.162622612287038,True,0.47729191748046873,0.4958349387207031,0.472900390625,0.497314453125,0.016793448935472376,0.01446373200757084,0.46875,0.485595703125,0.47802734375,0.505126953125,0.464111328125,0.476806640625,0.5078125,0.513671875,173998,954,0,0
thunderbird,middle,random,4096.0,Arm counter ticks/access,0.0,True,0.6538908325195313,0.653672619140625,0.653564453125,0.653564453125,0.008149264410752343,0.008313468324599955,0.650390625,0.64990234375,0.65673828125,0.65673828125,0.646240234375,0.646484375,0.66162109375,0.661376953125,9954,10876,0,0
thunderbird,middle,sequential,256.0,Arm counter ticks/access,0.0,True,0.034141733154296874,0.034147449462890625,0.0341796875,0.0341796875,0.0015561950794086281,0.0012788281236220812,0.0341796875,0.0341796875,0.0341796875,0.0341796875,0.033935546875,0.033935546875,0.034423828125,0.0341796875,295004,268635,0,0
thunderbird,middle,sequential,512.0,Arm counter ticks/access,0.0,True,0.034188565185546874,0.034605339599609375,0.0341796875,0.0341796875,0.0015569013503922897,0.0016794699806478065,0.0341796875,0.0341796875,0.0341796875,0.034912109375,0.033935546875,0.033935546875,0.034423828125,0.035888671875,302058,24611,0,0
