hostname,cpu_model,regime,size_kib,mode,event,raw_value,per_access
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,llc_sized,20480.0,chase,LL-read-miss,233324,0.0004557109375
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,llc_sized,20480.0,chase,cache-misses,1213645,0.002370400390625
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,llc_sized,20480.0,chase,cycles,42833160414,83.65851643359375
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,llc_sized,20480.0,chase,instructions,1950890510,3.81033302734375
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,larger_than_llc,131072.0,chase,DTLB-read-miss,515528538,1.00689167578125
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,larger_than_llc,131072.0,chase,L1D-read-access,1533901693,2.995901744140625
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,larger_than_llc,131072.0,chase,L1D-read-miss,1062042689,2.074302126953125
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,larger_than_llc,131072.0,chase,LL-read-access,559499292,1.0927720546875
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,larger_than_llc,131072.0,chase,LL-read-miss,369057869,0.720816150390625
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,larger_than_llc,131072.0,chase,cache-misses,388864415,0.759500810546875
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,larger_than_llc,131072.0,chase,cycles,125092244382,244.32078980859376
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,larger_than_llc,131072.0,chase,instructions,3729936611,7.285032443359375
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,l1_resident,34.0,chase,DTLB-read-miss,15148,2.95859375e-05
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,l1_resident,34.0,chase,L1D-read-access,590017727,1.152378373046875
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,l1_resident,34.0,chase,L1D-read-miss,106710943,0.208419810546875
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,l1_resident,34.0,chase,LL-read-access,189263,0.000369654296875
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,l1_resident,34.0,chase,LL-read-miss,28653,5.5962890625e-05
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,l1_resident,34.0,chase,cache-misses,305203,0.000596099609375
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,l1_resident,34.0,chase,cycles,3299345873,6.444034908203125
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,l1_resident,34.0,chase,instructions,1753542594,3.42488787890625
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,llc_sized,20480.0,chase,DTLB-read-miss,438944961,0.857314376953125
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,llc_sized,20480.0,chase,L1D-read-access,698686398,1.36462187109375
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,llc_sized,20480.0,chase,L1D-read-miss,901994442,1.76170789453125
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,llc_sized,20480.0,chase,LL-read-access,631433880,1.233269296875
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,llc_sized,20480.0,chase,LL-read-miss,472038314,0.92194983203125
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,llc_sized,20480.0,chase,cache-misses,1383616915,2.702376787109375
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,llc_sized,20480.0,chase,cycles,82998272388,162.1060007578125
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,llc_sized,20480.0,chase,instructions,1954489616,3.81736253125
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,larger_than_llc,131072.0,chase,DTLB-read-miss,548049641,1.070409455078125
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,larger_than_llc,131072.0,chase,L1D-read-access,1533524531,2.995165099609375
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,larger_than_llc,131072.0,chase,L1D-read-miss,1145129940,2.2365819140625
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,larger_than_llc,131072.0,chase,LL-read-access,1014204547,1.980868255859375
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,larger_than_llc,131072.0,chase,LL-read-miss,556580812,1.0870718984375
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,larger_than_llc,131072.0,chase,cache-misses,1719844820,3.3590719140625
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,larger_than_llc,131072.0,chase,cycles,119122951412,232.6620144765625
charnwood.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,larger_than_llc,131072.0,chase,instructions,3780593303,7.383971294921875
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,l1_resident,34.0,chase,DTLB-read-miss,334,6.5234375e-07
